id,puzzle,solution
1,914000607200416390830002410109230804740089050583007062451000000320801509000500231,914358627275416398836792415169235874742689153583147962451923786327861549698574231
2,097000460200901350000670010610080000409057000005306190506003071801065003930000586,197538462268941357354672819613489725429157638785326194546893271871265943932714586
3,090100800000500100025090000601000700058600203009003060063200001810005004040730500,396147852784526139125398647631452798458679213279813465563284971817965324942731586
4,097028560000730004080009700150000200024390650908002430000006009070000046601040020,497128563216735984385469712153684297724391658968572431542816379879253146631947825
5,300200047206894301410730800804001970007028010000073482152040768640187095798060104,389215647276894351415736829824651973937428516561973482152349768643187295798562134
6,801703600060019075075000810014020000307640502006370940150407309049006028608092407,821753694463819275975264813514928736397641582286375941152487369749536128638192457
7,219450763070290080000371295800009530056000021900605470300007042047532819102964050,219458763573296184468371295824719536756843921931625478395187642647532819182964357
8,003700000005648200020900657230590001000000020870006035010000072387205000000000500,163752948795648213428913657234597861651834729879126435516489372387265194942371586
9,040070000287054600009008034800400150000020079070105000600030200400082960008600305,341976582287354691569218734832497156156823479974165823695731248413582967728649315
10,015204379023700006700003210001308000004020600260040000040002003370400000182936040,615284379423791856798653214951368427834527691267149538549872163376415982182936745
11,127608300008000960096054802080200197060073584059400020010847000030000018870019050,127698345548732961396154872483265197261973584759481623615847239934526718872319456
12,013020600000040790009800001180000000076084000000900040497010000630008002805000039,513729684268145793749836251184653927976284315352971846497312568631598472825467139
13,050040000614093020000015740700906803169408007508027000006000400470200036021004900,957842361614793528283615749742956813169438257538127694396571482475289136821364975
14,240107693807020045003009072580793406609542307730861020070215960900604200420908701,245187693897326145163459872582793416619542387734861529378215964951674238426938751
15,235700009971060034468009100050610000004085370080473002042000005506007093300154806,235741689971568234468239157753612948624985371189473562842396715516827493397154826
16,982004156000016809005900407000102300030049070204080061100005090006001080507890602,982734156473516829615928437769152348831649275254387961128465793396271584547893612
17,000007300974000580000859000428970013357160090091084005500000008716430052002000060,185647329974213586263859741428975613357162894691384275549726138716438952832591467
18,200310060300000000409270000006709105100000498092800630018000056000007000000602800,287315964351964782469278513846739125173526498592841637718493256625187349934652871
19,004502100056970000091000000940260581000814009108700200570640903019357028680009407,734582196856971342291436875947263581325814769168795234572648913419357628683129457
20,903070015470300000120069704600083000000746003830100006002590000500402000710000040,983274615476351289125869734657983421291746853834125976342597168568412397719638542
21,600005002200407830840032905050000109984521000000908254500703000400800003000006701,639185472215497836847632915752364189984521367163978254521743698476819523398256741
22,046850002538290041902000385490020860680740120000068050301000400864100009029036500,146853792538297641972614385493521867685749123217368954351982476864175239729436518
23,200980000083624019009003006790300540600057900350809060804736100070010480130090000,267981354583624719419573826798362541642157938351849267824736195976215483135498672
24,000100090040000602905260831289305140750081900300409780437000060000730510060902308,628153497143897652975264831289375146754681923316429785437518269892736514561942378
25,003007001004200357007301000851060403006008000702590108208976500009120070075800019,523647981164289357987351642851762493396418725742593168218976534439125876675834219
26,502639007460200500000800200620010000301000600975000300094006700000148003010705860,582639147469271538137854296628513479341987652975462381894326715756148923213795864
27,002004903070090200004200507500006092001000000000705030820147059006000004495080071,652874913178593246934261587587436192341928765269715438823147659716359824495682371
28,487603015020170060000004700002007500078000604600890000003046150756000800000089070,487623915529178463361954728932467581178235694645891237893746152756312849214589376
29,190764050807015020450230009910003080248590060063082090509000008070009005301000000,192764853837915426456238719915643287248597361763182594529371648674829135381456972
30,872043915014927803600008004060432180400700356009100407258304690147000538900050740,872643915514927863693518274765432189421789356389165427258374691147296538936851742
